Kode,Nama,Tanggal Pencatatan
EAST,PT Eastparc Hotel Tbk,09 Jul 2019
ECII,PT Electronic City Indonesia Tbk.,03 Jul 2013
EKAD,Ekadharma International Tbk,14 Ags 1990
ELSA,Elnusa Tbk,06 Feb 2008
ELTY,Bakrieland Development Tbk,30 Okt 1995
EMDE,Megapolitan Developments Tbk,12 Jan 2011
EMTK,Elang Mahkota Teknologi Tbk,12 Jan 2010
ENRG,Energi Mega Persada Tbk,07 Jun 2004
ENVY,PT Envy Technologies Indonesia Tbk,08 Jul 2019
ENZO,PT Morenzo Abadi Perkasa Tbk,14 Sep 2020
EPAC,PT Megalestari Epack Sentosaraya Tbk.,01 Jul 2020
EPMT,Enseval Putra Megatrading Tbk,01 Ags 1994
ERAA,Erajaya Swasembada Tbk,14 Des 2011
ERTX,Eratex Djaja Tbk,21 Ags 1990
ESIP,PT Sinergi Inti Plastindo Tbk.,14 Nov 2019
ESSA,Surya Esa Perkasa Tbk,01 Feb 2012
ESTA,PT Esta Multi Usaha Tbk.,09 Mar 2020
ESTI,Ever Shine Textile Industry Tbk,13 Okt 1992
ETWA,Eterindo Wahanatama Tbk,16 Mei 1997
EXCL,PT XL Axiata Tbk,29 Sep 2005
FAST,PT Fast Food Indonesia Tbk,11 Mei 1993
FASW,Fajar Surya Wisesa Tbk,19 Des 1994
FILM,PT MD Pictures Tbk.,07 Ags 2018
FINN,PT First Indo American Leasing Tbk.,08 Jun 2017
FIRE,PT Alfa Energi Investama Tbk.,09 Jun 2017
FISH,FKS Multi Agro Tbk,18 Jan 2002
FITT,PT Hotel Fitra International Tbk,11 Jun 2019
FMII,Fortune Mate Indonesia Tbk,30 Jun 2000
FOOD,PT Sentra Food Indonesia Tbk.,08 Jan 2019
FORU,Fortune Indonesia Tbk,17 Jan 2002
FORZ,PT Forza Land Indonesia Tbk.,28 Apr 2017
FPNI,PT Lotte Chemical Titan Tbk.,21 Mar 2002
FREN,Smartfren Telecom Tbk,29 Nov 2006
FUJI,PT Fuji Finance Indonesia Tbk.,09 Jul 2019
GAMA,Aksara Global Development Tbk,11 Jul 2012
GDST,Gunawan Dianjaya Steel Tbk,23 Des 2009
GDYR,Goodyear Indonesia Tbk,22 Des 1980
GEMA,Gema Grahasarana Tbk,12 Ags 2002
GEMS,Golden Energy Mines Tbk,17 Nov 2011
GGRM,Gudang Garam Tbk,27 Ags 1990
GGRP,PT Gunung Raja Paksi Tbk.,19 Sep 2019
GGST,PT Great Golden Star Tbk,01 Jan 1911
GHON,PT Gihon Telekomunikasi Indonesia Tbk,09 Apr 2018
GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011
GJTL,Gajah Tunggal Tbk,08 Mei 1990
GLOB,Global Teleshop Tbk,10 Jul 2012
GLVA,PT Galva Technologies Tbk,23 Des 2019
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.,10 Okt 2017
GMTD,Gowa Makassar Tourism Development Tbk,11 Des 2000
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.,07 Jul 2010
GOLL,PT Golden Plantation Tbk,23 Des 2014
GOOD,PT Garudafood Putra Putri Jaya Tbk.,10 Okt 2018
GPRA,Perdana Gapura Prima Tbk,10 Okt 2007
GREN,Evergreen Invesco Tbk,09 Jul 2010
GRHA,PT GRHA SATU ENAM LIMA TBK,01 Jan 1911
GSMF,Equity Development Investment Tbk,23 Okt 1989
GTBO,Garda Tujuh Buana Tbk,09 Jul 2009
